SUBJECT,RELATION,OBJECT
814,similarTo,434
827,similarTo,907
807,similarTo,771
813,similarTo,728
566,similarTo,880
679,similarTo,861
828,similarTo,236
879,similarTo,238
809,similarTo,3
852,similarTo,631
537,similarTo,814
802,similarTo,11
838,similarTo,942
706,similarTo,873
857,similarTo,830
808,similarTo,13
851,similarTo,454
59,similarTo,850
878,similarTo,475
852,similarTo,340
801,similarTo,347
854,similarTo,125
832,similarTo,534
225,similarTo,878
835,similarTo,786
186,similarTo,882
839,similarTo,633
837,similarTo,956
805,similarTo,94
876,similarTo,459
831,similarTo,127
803,similarTo,506
960,similarTo,1022
852,similarTo,456
849,similarTo,200
490,similarTo,868
855,similarTo,406
330,similarTo,832
862,similarTo,17
849,similarTo,130
852,similarTo,390
861,similarTo,973
884,similarTo,173
803,similarTo,385
820,similarTo,636
824,similarTo,797
832,similarTo,308
633,similarTo,839
787,similarTo,823
954,similarTo,799
835,similarTo,165
373,similarTo,818
57,similarTo,869
832,similarTo,724
488,similarTo,832
869,similarTo,297
857,similarTo,700
833,similarTo,610
823,similarTo,79
276,similarTo,859
830,similarTo,729
858,similarTo,266
836,similarTo,871
815,similarTo,535
155,similarTo,854
816,similarTo,404
869,similarTo,749
813,similarTo,503
323,similarTo,849
26,similarTo,834
943,similarTo,863
845,similarTo,117
824,similarTo,532
799,similarTo,868
806,similarTo,589
988,similarTo,981
832,similarTo,193
962,similarTo,982
993,similarTo,578
889,similarTo,606
801,similarTo,412
834,similarTo,920
593,similarTo,800
810,similarTo,250
822,similarTo,184
814,similarTo,60
805,similarTo,608
251,similarTo,869
856,similarTo,695
839,similarTo,407
255,similarTo,883
221,similarTo,808
203,similarTo,814
800,similarTo,593
804,similarTo,471
826,similarTo,871
860,similarTo,761
733,similarTo,851
867,similarTo,242
976,similarTo,971
802,similarTo,327
803,similarTo,8
834,similarTo,430
820,similarTo,568
809,similarTo,694
841,similarTo,75
96,similarTo,883
109,similarTo,816
825,similarTo,639
48,similarTo,845
844,similarTo,835
877,similarTo,563
914,similarTo,814
376,similarTo,807
509,similarTo,819
801,similarTo,248
335,similarTo,863
726,similarTo,889
873,similarTo,706
889,similarTo,696
828,similarTo,127
858,similarTo,387
815,similarTo,555
834,similarTo,844
811,similarTo,250
813,similarTo,924
804,similarTo,944
862,similarTo,541
831,similarTo,835
461,similarTo,813
799,similarTo,201
863,similarTo,900
388,similarTo,804
856,similarTo,531
808,similarTo,518
374,similarTo,805
169,similarTo,880
848,similarTo,516
279,similarTo,847
800,similarTo,244
860,similarTo,774
804,similarTo,561
859,similarTo,688
817,similarTo,637
856,similarTo,336
823,similarTo,569
880,similarTo,394
871,similarTo,196
878,similarTo,47
815,similarTo,773
848,similarTo,148
883,similarTo,624
818,similarTo,504
823,similarTo,787
816,similarTo,849
826,similarTo,236
1034,similarTo,985
852,similarTo,248
813,similarTo,205
822,similarTo,124
798,similarTo,892
810,similarTo,577
812,similarTo,711
798,similarTo,247
833,similarTo,830
884,similarTo,462
493,similarTo,848
644,similarTo,861
467,similarTo,835
842,similarTo,171
846,similarTo,768
809,similarTo,712
573,similarTo,834
825,similarTo,583
825,similarTo,731
826,similarTo,952
818,similarTo,259
832,similarTo,417
847,similarTo,279
873,similarTo,227
46,similarTo,857
873,similarTo,948
165,similarTo,835
856,similarTo,256
16,similarTo,804
799,similarTo,523
853,similarTo,200
848,similarTo,477
844,similarTo,956
400,similarTo,846
414,similarTo,851
831,similarTo,905
859,similarTo,947
835,similarTo,926
807,similarTo,376
813,similarTo,429
860,similarTo,107
859,similarTo,370
834,similarTo,573
854,similarTo,545
806,similarTo,423
844,similarTo,579
823,similarTo,200
997,similarTo,1001
821,similarTo,714
798,similarTo,14
924,similarTo,813
663,similarTo,858
1028,similarTo,983
146,similarTo,832
711,similarTo,812
838,similarTo,837
832,similarTo,330
413,similarTo,808
869,similarTo,73
167,similarTo,875
960,similarTo,960
800,similarTo,886
275,similarTo,804
805,similarTo,752
906,similarTo,856
697,similarTo,875
519,similarTo,821
1009,similarTo,962
817,similarTo,67
978,similarTo,961
802,similarTo,785
869,similarTo,29
816,similarTo,412
816,similarTo,82
856,similarTo,525
815,similarTo,242
672,similarTo,861
809,similarTo,32
854,similarTo,911
878,similarTo,200
865,similarTo,544
641,similarTo,816
839,similarTo,693
869,similarTo,241
190,similarTo,812
1025,similarTo,998
857,similarTo,792
791,similarTo,823
821,similarTo,391
819,similarTo,317
825,similarTo,375
878,similarTo,649
49,similarTo,807
838,similarTo,576
855,similarTo,812
962,similarTo,966
855,similarTo,223
694,similarTo,809
846,similarTo,500
962,similarTo,321
164,similarTo,803
856,similarTo,615
852,similarTo,140
799,similarTo,955
719,similarTo,798
962,similarTo,960
866,similarTo,902
51,similarTo,889
870,similarTo,651
887,similarTo,198
1012,similarTo,970
854,similarTo,151
845,similarTo,766
829,similarTo,732
31,similarTo,826
997,similarTo,987
845,similarTo,200
808,similarTo,529
141,similarTo,813
18,similarTo,817
861,similarTo,686
734,similarTo,802
231,similarTo,873
