tid,LEGAL_SCJUDGE,LEGAL_DESIGN,LEGAL_GEN,LEGAL_PATENT,LEGAL_TRADEMARK,LEGAL_COPYRIGHT,LEGAL_RESERVATION_CATEGORY,LEGAL_CRIMINAL_PROCEDURE,LEGAL_ENTITY,LAW,INFRINGEMENT,PERSON,NATION/RELIGIOUS/POL_GROUP,GEOGRAPHICAL_LOC,LANGUAGE,LOCATION_STRUCTURE,LOCATION,CONTACTNAME,ORGANIZATION,ORGANIZATION2,GEOGRAPHY2,DATETIME,PERCENT,COPYRIGHT_ACT,PATENTS_ACT,DESIGNS_ACT,INFORMATION_TECHNOLOGY_ACT,TRADEMARK_ACT
849254,0,7,21,0,0,7,0,39,8,8,0,179,5,305,0,2,299,10,48,50,110,133,30,0,0,0,0,0
241970,26,8,11,0,0,0,0,4,10,196,0,762,1,27,0,2,225,13,48,50,5,175,85,0,0,0,0,0
468834,0,8,21,0,0,0,4,5,10,462,0,518,21,266,2,464,238,10,48,50,0,148,3,0,0,0,0,0
1023674,0,5,5,0,0,0,0,0,8,176,1,100,53,272,2,2,189,10,48,94,231,136,3,0,0,0,0,0
1482259,0,-1,21,0,0,0,2,13,2,8,0,764,58,105,0,98,203,10,48,33,260,94,87,0,0,0,0,0
653417,21,5,2,0,0,0,4,5,4,34,0,30,11,105,2,405,116,10,48,50,45,98,3,0,0,0,0,0
329158,0,8,13,2,0,7,4,4,10,515,0,570,1,45,0,485,40,10,153,127,32,108,3,0,0,0,0,0
199908142,0,8,5,0,0,7,4,38,10,509,0,431,1,105,0,374,40,10,48,50,0,120,3,0,0,0,0,0
1484358,0,0,21,0,0,0,0,9,4,266,0,186,1,164,0,2,216,354,205,172,0,13,3,0,0,0,0,0
403501,0,6,7,0,0,0,4,0,10,226,0,514,1,114,0,460,12,368,48,71,3,107,3,0,0,0,0,0
1147125,0,5,15,2,0,0,4,4,4,8,0,623,53,105,2,117,116,10,48,50,197,154,30,0,0,0,0,0
17789938,0,7,10,0,8,0,0,39,8,279,1,226,1,216,0,2,202,316,136,164,0,27,3,0,1,1,0,0
491934,0,0,15,0,0,0,0,23,7,8,0,260,1,105,0,2,116,10,154,40,229,203,3,0,0,0,0,0
1763592,0,5,11,0,0,0,4,4,10,25,0,188,69,140,0,381,135,121,205,172,159,310,3,0,0,0,0,0
296025,0,0,21,0,0,8,0,4,9,307,0,254,1,15,0,2,3,163,87,50,93,143,3,0,0,0,0,0
54995969,0,5,1,0,0,0,0,54,8,226,0,574,1,156,0,439,256,41,197,172,134,185,3,0,0,0,0,0
458739,0,0,21,0,0,7,0,4,7,8,0,700,1,77,0,408,257,10,48,50,287,129,3,0,0,0,0,0
1752565,0,5,21,0,0,0,0,39,7,8,0,200,54,105,0,319,116,10,48,50,0,149,3,0,0,0,0,0
